,bank_name,url,swift_code
19,ABC INTERNATIONAL BANK PLC,http://www.swiftcodelist.com/bank/united-kingdom/abc_international_bank_plc.html,ABCEGB2L
20,ABERDEEN ASSET MANAGEMENT INVESTMENT SERVICES LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/aberdeen_asset_management_investment_services_limited.html,DAMIGB21
21,ABERDEEN ASSET MANAGEMENT LIFE AND PENSIONS LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/aberdeen_asset_management_life_and_pensions_limited.html,DAMEGB21
22,ABERDEEN ASSET MANAGERS LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/aberdeen_asset_managers_limited.html,ABSNGB21
23,ABERDEEN ESTATE MANAGERS LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/aberdeen_estate_managers_limited.html,RPUTGB21
24,ABERDEEN PRIVATE INVESTORS LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/aberdeen_private_investors_limited.html,APILGB21
25,ABERDEEN PROPERTY INVESTORS,http://www.swiftcodelist.com/bank/united-kingdom/aberdeen_property_investors.html,ABPIGB21
26,ABERDEEN UNIT TRUST MANAGERS LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/aberdeen_unit_trust_managers_limited.html,AUTSGB21
27,ABERFORTH PARTNERS LLP,http://www.swiftcodelist.com/bank/united-kingdom/aberforth_partners_llp.html,ABUTGB21
28,ABERFORTH UNIT TRUST MANAGERS LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/aberforth_unit_trust_managers_limited.html,AURMGB21
29,ABG SUNDAL COLLIER LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/abg_sundal_collier_limited.html,ABECGB21
30,ABIDE FINANCIAL LTD,http://www.swiftcodelist.com/bank/united-kingdom/abide_financial_ltd.html,ABFNGB21
31,ABIL CORPORATION FINANCE LLP,http://www.swiftcodelist.com/bank/united-kingdom/abil_corporation_finance_llp.html,ACFLGB21
32,ABINGWORTH MANAGEMENT LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/abingworth_management_limited.html,ABMNGB21
33,ABN AMRO BANK N.V. UK BRANCH (FORMELY KNOWN AS FORTIS BANK (NEDERLAND) N.V. LONDON),http://www.swiftcodelist.com/bank/united-kingdom/abn_amro_bank_n_v_uk_branch_formely_known_as_fortis_bank_nederland_n_v_london.html,FTSBGB2L
34,ABN AMRO CLEARING BANK N.V. LONDON BRANCH( FORMELY KNOWN AS FORTIS BANK GLOBAL CLEARING N.V.),http://www.swiftcodelist.com/bank/united-kingdom/abn_amro_clearing_bank_n_v_london_branch_formely_known_as_fortis_bank_global_clearing_n_v.html,MEESGB21
35,ABN AMRO CORPORATE FINANCE LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/abn_amro_corporate_finance_limited.html,AACNGB21
36,ABN AMRO FUND MANAGERS LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/abn_amro_fund_managers_limited.html,AAFMGB21
37,ABN AMRO HOARE GOVETT CORPORATE FINANCE LTD.,http://www.swiftcodelist.com/bank/united-kingdom/abn_amro_hoare_govett_corporate_finance_ltd.html,AAHVGB21
38,ABN AMRO HOARE GOVETT LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/abn_amro_hoare_govett_limited.html,AAOGGB21
39,ABN AMRO HOARE GOVETT SECURITIES,http://www.swiftcodelist.com/bank/united-kingdom/abn_amro_hoare_govett_securities.html,AAHOGB21
40,ABN AMRO MEZZANINE (UK) LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/abn_amro_mezzanine_uk_limited.html,ABAZGB21
41,ABN AMRO QUOTED INVESTMENTS (UK) LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/abn_amro_quoted_investments_uk_limited.html,AAQIGB21
42,ABSA BANK LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/absa_bank_limited.html,ABSAGB2L
43,ABTRUST POINTON FUND MANAGERS LTD,http://www.swiftcodelist.com/bank/united-kingdom/abtrust_pointon_fund_managers_ltd.html,APFMGB21
44,ACE EUROPEAN GROUP LTD,http://www.swiftcodelist.com/bank/united-kingdom/ace_european_group_ltd.html,ACEGGB22
45,ACERGY TREASURY LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/acergy_treasury_limited.html,ACGYGB21
46,ACM INVESTMENTS LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/acm_investments_limited.html,ACINGB21
47,ACT MANAGEMENT LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/act_management_limited.html,ACMAGB21
48,ACTINVEST CORPORATION LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/actinvest_corporation_limited.html,ACCPGB21
49,ACTINVEST GROUP LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/actinvest_group_limited.html,ACGRGB21
50,ACTIVE VALUE ADVISORS LTD,http://www.swiftcodelist.com/bank/united-kingdom/active_value_advisors_ltd.html,ACVAGB21
51,ACTIVTRADES PLC,http://www.swiftcodelist.com/bank/united-kingdom/activtrades_plc.html,ACTDGB21
52,ACTUARE LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/actuare_limited.html,ACTUGB22BAW
53,ACUITY CAPITAL MANAGEMENT LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/acuity_capital_management_limited.html,ELQMGB21
54,ACUMEN BANK LTD,http://www.swiftcodelist.com/bank/united-kingdom/acumen_bank_ltd.html,ACUEGB21
55,ADAM AND COMPANY INVESTMENT MANAGEMENT LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/adam_and_company_investment_management_limited.html,ACIMGB21
56,ADAM AND COMPANY PLC,http://www.swiftcodelist.com/bank/united-kingdom/adam_and_company_plc.html,ADAGGB2S
57,ADAM SMITH LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/adam_smith_limited.html,ADSMGB21
58,ADAMS P T,http://www.swiftcodelist.com/bank/united-kingdom/adams_p_t.html,ADASGB21
59,ADD PARTNERS LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/add_partners_limited.html,ADPAGB21
60,ADELPHI CAPITAL LLP,http://www.swiftcodelist.com/bank/united-kingdom/adelphi_capital_llp.html,ADPLGB21
61,ADELPHI CAPITAL MANAGEMENT LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/adelphi_capital_management_limited.html,ADCPGB21
62,ADG CAPITAL MANAGEMENT LLP,http://www.swiftcodelist.com/bank/united-kingdom/adg_capital_management_llp.html,ACNPGB21
63,ADG MARKET MAKING LLP,http://www.swiftcodelist.com/bank/united-kingdom/adg_market_making_llp.html,AMMLGB21
64,ADIB UK LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/adib_uk_limited.html,ABDIGB2L
65,ADM INVESTOR SERVICES INTERNATIONAL LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/adm_investor_services_international_limited.html,AISIGB21
66,ADVANCE TRADING (ARBITRAGE) LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/advance_trading_arbitrage_limited.html,ADTAGB21
67,ADVANCE TRADING (BRANCH) LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/advance_trading_branch_limited.html,ADTBGB21
68,ADVANCE TRADING (OPTIONS) LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/advance_trading_options_limited.html,ADTOGB21
69,ADVANCED MARKETING ON THE INTERNET LTD,http://www.swiftcodelist.com/bank/united-kingdom/advanced_marketing_on_the_internet_ltd.html,ADMNGB21
70,ADVANTAGE CAPITAL LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/advantage_capital_limited.html,ADCIGB21
71,ADVENT INTERNATIONAL PUBLIC LIMITED COMPANY,http://www.swiftcodelist.com/bank/united-kingdom/advent_international_public_limited_company.html,ADVIGB21
72,ADVENT LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/advent_limited.html,ADVTGB21
73,ADVICORP PLC,http://www.swiftcodelist.com/bank/united-kingdom/advicorp_plc.html,ADVCGB21
74,ADVISING FINANCIAL COMPANY LTD,http://www.swiftcodelist.com/bank/united-kingdom/advising_financial_company_ltd.html,ADFCGB21
75,AEA INVESTORS (UK) LTD,http://www.swiftcodelist.com/bank/united-kingdom/aea_investors_uk_ltd.html,AEIEGB21
76,AEGIS CORPORATE STRATEGY LTD,http://www.swiftcodelist.com/bank/united-kingdom/aegis_corporate_strategy_ltd.html,AECSGB21
77,AEGON ASSET MANAGEMENT UK PLC,http://www.swiftcodelist.com/bank/united-kingdom/aegon_asset_management_uk_plc.html,AEAGGB21
78,AEGON FUND MANAGEMENT UK LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/aegon_fund_management_uk_limited.html,AEFMGB21
79,AEQUILIBRIUM INVESTMENTS LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/aequilibrium_investments_limited.html,AEIVGB21
80,AERION FUND MANAGEMENT LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/aerion_fund_management_limited.html,AEFNGB21
81,AFH WEALTH MANAGEMENT,http://www.swiftcodelist.com/bank/united-kingdom/afh_wealth_management.html,AFWAGB21
82,AFIM LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/afim_limited.html,AFIMGB21
83,AFRIEXCHANGE LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/afriexchange_limited.html,AFRXGB21
84,AFRO INTERNATIONAL (UK) LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/afro_international_uk_limited.html,AFROGB2L
85,AGI CORPORATE FINANCE LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/agi_corporate_finance_limited.html,AGCFGB21
86,AGRICULTURAL BANK OF CHINA (UK) LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/agricultural_bank_of_china_uk_limited.html,ABOCGB2L
87,AHLI UNITED BANK (UK) PLC,http://www.swiftcodelist.com/bank/united-kingdom/ahli_united_bank_uk_plc.html,UBKLGB2LBAK
88,AIB COLLECTIVE INVESTMENT SCHEMES LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/aib_collective_investment_schemes_limited.html,GOINGB21
89,AIB INVESTMENT MANAGEMENT LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/aib_investment_management_limited.html,GOIMGB21
90,AIG ASSET MANAGEMENT (EUROPE) LTD,http://www.swiftcodelist.com/bank/united-kingdom/aig_asset_management_europe_ltd.html,AIEUGB21
91,AIG CAPITAL PARTNERS (UK) LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/aig_capital_partners_uk_limited.html,AICPGB21
92,AIG FINANCIAL SECURITIES (UK) LTD,http://www.swiftcodelist.com/bank/united-kingdom/aig_financial_securities_uk_ltd.html,AIFEGB21
93,AIG INVESTMENTS EUROPE LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/aig_investments_europe_limited.html,AIGOGB21
94,AIG TRADING LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/aig_trading_limited.html,AITRGB21
95,AIM GLOBAL ADVISORS LTD,http://www.swiftcodelist.com/bank/united-kingdom/aim_global_advisors_ltd.html,AIGDGB21
96,AIRDRIE SAVINGS BANK,http://www.swiftcodelist.com/bank/united-kingdom/airdrie_savings_bank.html,AIRDGB21
97,AIRWAYS UNIT TRUST MANAGERS LTD,http://www.swiftcodelist.com/bank/united-kingdom/airways_unit_trust_managers_ltd.html,AUTEGB21
98,AITKEN CAMPBELL,http://www.swiftcodelist.com/bank/united-kingdom/aitken_campbell.html,ATKCGB21
99,AJG INVESTMENTS LTD.,http://www.swiftcodelist.com/bank/united-kingdom/ajg_investments_ltd.html,AJINGB21
100,AKO CAPITAL LLP,http://www.swiftcodelist.com/bank/united-kingdom/ako_capital_llp.html,AKCLGB21
101,ALADDIN CAPITAL MANAGEMENT UK LLP,http://www.swiftcodelist.com/bank/united-kingdom/aladdin_capital_management_uk_llp.html,ACMPGB21
102,ALBEMARLE PRIVATE EQUITY LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/albemarle_private_equity_limited.html,ALPQGB21
103,ALBERDALE AND CO LIMITED PARTNERSHIP,http://www.swiftcodelist.com/bank/united-kingdom/alberdale_and_co_limited_partnership.html,ALBDGB21
104,ALBION OIL LTD,http://www.swiftcodelist.com/bank/united-kingdom/albion_oil_ltd.html,ALOIGB21
105,ALBOURNE PARTNERS LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/albourne_partners_limited.html,ALPTGB21
106,,http://www.swiftcodelist.com/banks/united-kingdom-2.html,
107,,http://www.swiftcodelist.com/banks/united-kingdom-3.html,
108,,http://www.swiftcodelist.com/banks/united-kingdom-4.html,
109,,http://www.swiftcodelist.com/banks/united-kingdom-5.html,
110,,http://www.swiftcodelist.com/banks/united-kingdom-6.html,
111,,http://www.swiftcodelist.com/banks/united-kingdom-7.html,
112,,http://www.swiftcodelist.com/banks/united-kingdom-8.html,
113,,http://www.swiftcodelist.com/banks/united-kingdom-9.html,
114,,http://www.swiftcodelist.com/banks/united-kingdom-10.html,
115,Next,http://www.swiftcodelist.com/banks/united-kingdom-2.html,ALCHEMY SPECIAL OPPORTUNITIES LLP
116,Last,http://www.swiftcodelist.com/banks/united-kingdom-42.html,WHITEHEAD MONCKTON
117,Privacy policy,http://www.swiftcodelist.com/one/privacy.html,Contact Us
118,DMCA Policy,http://www.swiftcodelist.com/one/dmca.html,DMCA Policy
119,Contact Us,http://www.swiftcodelist.com/one/contact.html,Contact Us
120,SWIFT Code Databse,http://www.swiftcodelist.com/,Taiwan
121,Countries List,http://www.swiftcodelist.com/countries.html,Taiwan
122,,http://www.swiftcodelist.com/country/united-kingdom.html,
123,Home,http://www.swiftcodelist.com/country/united-kingdom.html,TGCLGB21
124,United Kingdom Banks,http://www.swiftcodelist.com/banks/united-kingdom.html,3I INVESTMENTS PLC
125,Contact Us,http://www.swiftcodelist.com/one/contact.html,Contact Us
126,ALBRECHT VON WITZLEBEN,http://www.swiftcodelist.com/bank/united-kingdom/albrecht_von_witzleben.html,ALWIGB21
127,ALCHEMY SPECIAL OPPORTUNITIES LLP,http://www.swiftcodelist.com/bank/united-kingdom/alchemy_special_opportunities_llp.html,ASOLGB21
128,ALDER INVESTMENT MANAGEMENT LTD,http://www.swiftcodelist.com/bank/united-kingdom/alder_investment_management_ltd.html,ALIGGB21
129,ALDERMORE BANK,http://www.swiftcodelist.com/bank/united-kingdom/aldermore_bank.html,ALDBGB2P
130,ALDERSGATE GLOBAL INVESTMENTS LIMIT,http://www.swiftcodelist.com/bank/united-kingdom/aldersgate_global_investments_limit.html,AGIMGB21
131,ALDERSGATE GLOBAL TRADING LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/aldersgate_global_trading_limited.html,AGLTGB21
132,ALDERSGATE INVESTMENT MANAGERS LLP,http://www.swiftcodelist.com/bank/united-kingdom/aldersgate_investment_managers_llp.html,AIALGB21
133,ALDERTON FINANCIAL SERVICES LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/alderton_financial_services_limited.html,ALFCGB21
134,ALDERTON FINANCIAL SERVICES LTD,http://www.swiftcodelist.com/bank/united-kingdom/alderton_financial_services_ltd.html,ALISGB21
135,ALDWYCH ADMINISTRATION SERVICES LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/aldwych_administration_services_limited.html,ASCFGB21
136,ALEX BROWN AND SONS INVESTMENTS LTD,http://www.swiftcodelist.com/bank/united-kingdom/alex_brown_and_sons_investments_ltd.html,ABSIGB21
137,ALEXANDER DAVID SECURITIES LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/alexander_david_securities_limited.html,ALDSGB21
138,ALEXANDER SECURITIES LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/alexander_securities_limited.html,ALXEGB21
139,ALFA CAPITAL HOLDINGS (CYPRUS) LIMITED LONDON BRANCH,http://www.swiftcodelist.com/bank/united-kingdom/alfa_capital_holdings_cyprus_limited_london_branch.html,ALSCGB21
140,ALFRED BERG UK LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/alfred_berg_uk_limited.html,ALFRGB21
141,ALGEBRIS INVESTMENTS (UK) LLP,http://www.swiftcodelist.com/bank/united-kingdom/algebris_investments_uk_llp.html,AILPGB21
142,ALGO CAPITAL MANAGEMENT LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/algo_capital_management_limited.html,CLCGGB21
143,ALGOENGINEERING,http://www.swiftcodelist.com/bank/united-kingdom/algoengineering.html,ALGNGB21
144,ALGOMETRICS LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/algometrics_limited.html,ALGOGB21
145,ALKEN ASSET MANAGEMENT,http://www.swiftcodelist.com/bank/united-kingdom/alken_asset_management.html,AANLGB21
146,ALL IPO PLC,http://www.swiftcodelist.com/bank/united-kingdom/all_ipo_plc.html,ALIPGB21
147,ALLCO FINANCE (UK) LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/allco_finance_uk_limited.html,ALFNGB21
148,ALLFUNDS BANK,http://www.swiftcodelist.com/bank/united-kingdom/allfunds_bank.html,ALLFGB2L
149,ALLIANCE AND LEICESTER SHARESAFE LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/alliance_and_leicester_sharesafe_limited.html,ALLHGB21
150,ALLIANCE AND LEICESTER UNIT TRUST MANAGERS LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/alliance_and_leicester_unit_trust_managers_limited.html,ALUTGB21
151,ALLIANCE ASSET ALLOCATION LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/alliance_asset_allocation_limited.html,ALAOGB21
152,ALLIANCE TRUST EQUITY PARTNERS,http://www.swiftcodelist.com/bank/united-kingdom/alliance_trust_equity_partners.html,ALVMGB21
153,ALLIANCE TRUST PLC,http://www.swiftcodelist.com/bank/united-kingdom/alliance_trust_plc.html,ALLIGB21
154,ALLIANCE TRUST SAVINGS LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/alliance_trust_savings_limited.html,ALTSGB21
155,ALLIANCEBERNSTEIN FIXED INCOME LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/alliancebernstein_fixed_income_limited.html,ALCWGB21
156,ALLIANCEBERNSTEIN LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/alliancebernstein_limited.html,ALLCGB21
157,ALLIANZ GLOBAL INVESTORS (UK) LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/allianz_global_investors_uk_limited.html,ALGIGB21
158,ALLIED BANK PHILIPPINES (UK) PLC,http://www.swiftcodelist.com/bank/united-kingdom/allied_bank_philippines_uk_plc.html,ABCMGB21
159,ALLIED IRISH BANK (GB) (AIB GROUP (UK) P.L.C. T/A),http://www.swiftcodelist.com/bank/united-kingdom/allied_irish_bank_gb_aib_group_uk_p_l_c_t_a.html,AIBKGB2LSDV
160,ALLIED IRISH BANK PLC.,http://www.swiftcodelist.com/bank/united-kingdom/allied_irish_bank_plc.html,AIBKGB2XTSY
161,ALLIED IRISH BANKS P.L.C.,http://www.swiftcodelist.com/bank/united-kingdom/allied_irish_banks_p_l_c.html,AIBKGB41
162,ALLIED PROVINCIAL SECURITIES LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/allied_provincial_securities_limited.html,ALPUGB21
163,ALLOY CAPITAL TRUST AND CREDIT UNION,http://www.swiftcodelist.com/bank/united-kingdom/alloy_capital_trust_and_credit_union.html,ACTEGB21
164,ALMA CAPITAL LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/alma_capital_limited.html,ALTLGB21
165,ALMADIES BANK UK LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/almadies_bank_uk_limited.html,ALMSGB21
166,ALMADIES INSURANCE SERVICES COMPANY LTD,http://www.swiftcodelist.com/bank/united-kingdom/almadies_insurance_services_company_ltd.html,AISCGB21
167,ALNISTA LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/alnista_limited.html,ALCNGB21
168,ALPARI (UK) LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/alpari_uk_limited.html,AFXLGB21
169,ALPCAPITAL LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/alpcapital_limited.html,ALLPGB21
170,ALPHA BANK AE LONDON BRANCH,http://www.swiftcodelist.com/bank/united-kingdom/alpha_bank_ae_london_branch.html,CRBAGB2L
171,ALPHA BANK LONDON LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/alpha_bank_london_limited.html,ALBLGB2L
172,ALPHA BROKERS (METALS) LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/alpha_brokers_metals_limited.html,ALBMGB21
173,ALPHA INVESTMENT MANAGEMENT (UK) LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/alpha_investment_management_uk_limited.html,ALITGB21
174,ALPHA INVESTMENT MANAGEMENT LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/alpha_investment_management_limited.html,ALNMGB21
175,ALPHA VALUE MANAGEMENT (UK) LTD,http://www.swiftcodelist.com/bank/united-kingdom/alpha_value_management_uk_ltd.html,ALVAGB21
176,ALTA ADVISERS LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/alta_advisers_limited.html,ALADGB21
177,ALTA BERKELEY ASSOCIATES LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/alta_berkeley_associates_limited.html,ALEAGB21
178,ALTANA WEALTH LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/altana_wealth_limited.html,ALWEGB21
179,ALTERNET (UK) LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/alternet_uk_limited.html,ALREGB21
180,ALTIMA PARTNERS LLP,http://www.swiftcodelist.com/bank/united-kingdom/altima_partners_llp.html,APALGB21
181,ALTIUM CAPITAL LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/altium_capital_limited.html,APCFGB21ABS
182,ALTIUS ASSOCIATES LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/altius_associates_limited.html,ALAIGB21
183,ALTUS INVESTMENT MANAGEMENT LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/altus_investment_management_limited.html,ALTCGB21
184,ALTUS LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/altus_limited.html,ALUSGB21
185,AM WIND UP LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/am_wind_up_limited.html,PRFAGB21
186,AMADEUS CAPITAL PARTNERS LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/amadeus_capital_partners_limited.html,AMCPGB21
187,AMALGAMATED METAL TRADING LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/amalgamated_metal_trading_limited.html,AMMTGB21
188,AMAM LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/amam_limited.html,AMAAGB21
189,AMATI GLOBAL INVESTORS LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/amati_global_investors_limited.html,AMGNGB21
190,AMBAC CREDIT PRODUCTS LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/ambac_credit_products_limited.html,AMCRGB21
191,AMBIX CAPITAL LLP,http://www.swiftcodelist.com/bank/united-kingdom/ambix_capital_llp.html,FCCPGB21
192,AMBRIAN PARTNERS LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/ambrian_partners_limited.html,AMPRGB21
193,AMEREX FUTURES LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/amerex_futures_limited.html,AMFRGB21
194,AMEREX PETROLEUM (UK) LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/amerex_petroleum_uk_limited.html,AMPEGB21
195,AMERICAN EQUITIES OVERSEAS (U.K.) LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/american_equities_overseas_u_k_limited.html,AMEOGB21
196,AMERICAN EXPRESS ASSET MANAGEMENT INTERNATIONAL,http://www.swiftcodelist.com/bank/united-kingdom/american_express_asset_management_international.html,AEAAGB21
197,AMERICAN EXPRESS ASSET MANAGEMENT LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/american_express_asset_management_limited.html,AEANGB21
198,AMERINDO ADVISORS (UK) LTD,http://www.swiftcodelist.com/bank/united-kingdom/amerindo_advisors_uk_ltd.html,AMAVGB21
199,AMIAS BERMAN AND CO LLP,http://www.swiftcodelist.com/bank/united-kingdom/amias_berman_and_co_llp.html,AMELGB21
200,AMIKON INVESTMENT LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/amikon_investment_limited.html,AMILGB21
201,AMIYA CAPITAL LLP,http://www.swiftcodelist.com/bank/united-kingdom/amiya_capital_llp.html,AMPPGB21
202,AMLIN CORPORATE SERVICES LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/amlin_corporate_services_limited.html,AMLNGB2L
203,AMSTEEL SECURITIES (FAR EAST) LTD,http://www.swiftcodelist.com/bank/united-kingdom/amsteel_securities_far_east_ltd.html,ASFEGB21
204,AMT FUTURES LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/amt_futures_limited.html,AMFTGB21
205,ANAVON CAPITAL LLP,http://www.swiftcodelist.com/bank/united-kingdom/anavon_capital_llp.html,ANCLGB21
206,ANCHORAGE CAPITAL PARTNERS LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/anchorage_capital_partners_limited.html,ANCPGB21
207,ANDERSEN CHARNLEY INVESTMENT MANAGEMENT LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/andersen_charnley_investment_management_limited.html,ACIGGB21
208,ANDERSON QUANTREND LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/anderson_quantrend_limited.html,ANQUGB21
209,ANDREW FUTURES LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/andrew_futures_limited.html,ANFUGB21
210,ANGLESEA FUNDING PLC,http://www.swiftcodelist.com/bank/united-kingdom/anglesea_funding_plc.html,ANFDGB21
